大きい
小さい
長い
短い
細い
太い
明るい
暗い
熱い（暑い）
寒い
厚い
薄い
硬い
柔らかい
冷たい
新しい
古い
早い（速い）
遅い
甘い
しょっぱい
苦い
辛い（からい）
酸っぱい
赤い
青い
黄色い
白い
黒い
広い
狭い
強い
弱い
辛い（つらい）
楽しい
危ない
うるさい
静かな
浮く
回る
光る
汚い
きれいな
丸い
四角い
かわいい
怖い
鳴る
動く
見えない
緑色の
茶色い
おいしい
痛い
不安定な
揺れる
におう（香る）
重い
軽い
身に着ける
飾る
食べる
消える
飛ぶ
泳ぐ
育つ
壊れる

